USER_ID | CLASS_ID | DATE ENROLLED
----------------------------------
3 | 3 | 06/01/2026 19:11:23
4 | 3 | 06/01/2026 19:11:25
1 | 3 | 06/01/2026 19:38:221
9 | 3 | 06/01/2026 19:59:55
9 | 3 | 06/01/2026 20:00:02
8 | 2 | 06/01/2026 20:02:034
144 | 4 | 06/01/2026 20:35:30
6 | 4 | 06/01/2026 20:35:38
9 | 4 | 06/01/2026 20:35:50
10 | 4 | 06/01/2026 20:35:558
8 | 4 | 06/01/2026 20:37:419
4 | 7 | 23/02/2026 12:57:01
9 | 7 | 23/02/2026 12:57:08
6 | 7 | 23/02/2026 13:18:319
444 | 8 | 03/06/2026 00:19:33
9 | 8 | 03/06/2026 00:19:441
2 | 2 | 05/06/2026 21:39:29
12 | 2 | 22/06/2026 19:09:257
6 | 2 | 24/06/2026 12:55:003
53 | 2 | 24/06/2026 13:03:403
403 | 2 | 24/06/2026 13:17:04
3 | 2 | 24/06/2026 13:17:186
4412 | 1 | 24/06/2026 16:07:33
12 | 1 | 24/06/2026 16:39:04
11 | 1 | 24/06/2026 16:42:26
13 | 1 | 24/06/2026 16:50:20
